City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,sao raimundo das mangabeiras,-7.0219,-45.4811,35.66,21,3,4.45,BR,1724947554
148,alice springs,-23.7,133.8833,21.75,30,3,2.57,AU,1724947555
149,chibougamau,49.9168,-74.3659,15.79,48,0,1.54,CA,1724947556
150,olonkinbyen,70.9221,-8.7187,6.28,91,100,0.5,SJ,1724947557
151,bodaybo,57.8506,114.1933,8.06,90,80,1.27,RU,1724947558
152,shenjiamen,29.9576,122.298,26.88,86,1,1.13,CN,1724947559
153,bulgan,48.8125,103.5347,10.96,89,5,0.4,MN,1724947560
154,san andres,12.5847,-81.7006,33.01,66,40,6.17,CO,1724947561
155,urucara,-2.5364,-57.76,38.08,24,0,2.87,BR,1724947562
156,kourou,5.1552,-52.6478,31.85,56,91,3.71,GF,1724947564
157,nova sintra,14.8667,-24.7167,26.61,80,66,5.42,CV,1724947565
158,kavaratti,10.5669,72.642,27.13,86,75,5.32,IN,1724947566
159,cangucu,-31.395,-52.6756,18.04,69,99,0.25,BR,1724947567
160,sena madureira,-9.0656,-68.6569,38.75,24,0,0.64,BR,1724947568
161,mersa matruh,31.3525,27.2453,30.11,66,0,3.6,EG,1724947569
162,vanimo,-2.6741,141.3028,25.35,90,68,0.99,PG,1724947570
163,sinabang,2.4803,96.3801,25.99,85,100,2.21,ID,1724947571
164,voranava,54.1483,25.3131,25.5,58,53,3.74,BY,1724947572
165,naze,28.3667,129.4833,26.51,90,83,3.73,JP,1724947573
166,tambopata,-12.7333,-69.1833,31.94,51,0,1.54,PE,1724947574
167,isangel,-19.55,169.2667,20.02,71,16,2.6,VU,1724947575
168,christchurch,-43.5333,172.6333,11.11,50,13,3.6,NZ,1724947302
169,al kharijah,25.4514,30.5464,38.92,14,10,8.29,EG,1724947577
170,thompson,55.7435,-97.8558,15.09,100,100,1.03,CA,1724947328
171,manismata,-2.4667,111.0333,23.1,97,100,0.89,ID,1724947580
